title,created,created_year_month,profile_visits,impressions,follows,accounts_reached,saves,likes,comments,shares
": @drjuliehanks 
we cant only teach religious and/or abstinent youth what they shouldnt do and then expect them to have a healthy sexual relationship in marriage at the drop of a hat. 
                    ",2021-12-02T11:58:11,2021-12,7,616,0,587,2,36,3,3
"lets normalize trauma-informed and sex-positive sex education in all settings, including parent-child conversations, chastity lessons at church, etc. 
                  ",2021-11-30T13:00:56,2021-11,2,672,0,643,6,54,2,3
"validate your own trauma 
                   ",2021-11-28T17:57:38,2021-11,21,622,4,583,28,105,12,19
"**one resource for survivors of military sexual trauma is in a previous post**

on top of this, its been reported that those who do choose to report being assaulted (which are few and far between) are treated poorly, blamed, discharged, etc. this is not acceptable. i acknowledge that the military is working on addressing these issuesand there is a lot to address. this includes acknowledging that rates of sexual assault in the military differ for service members of different racialized identities and that trans people are more likely than cos people to be raped. 

**links to reports in bio 
                    ",2021-11-13T13:45:00,2021-11,8,646,4,596,6,75,21,8
": @defendsurvivors 
only the survivor is expert on their experience 
                        ",2021-09-20T09:09:02,2021-09,6,403,0,380,9,56,2,0
": @inyourskin.co 
if were polite, were a tease; if were not, were rude. 
                              ",2021-09-16T12:22:44,2021-09,3,570,0,535,8,66,12,0
"this is why we dont victim-blame. leave a  in the comments if you agree! 
                     ",2021-09-10T09:11:32,2021-09,9,467,0,446,3,35,4,0
": @worrywellbeing 
lets normalize talking about male (and other non-female) mental health and vulnerability, especially because men (and other non-women) experience sexual assault, too. 
                ",2021-09-07T12:32:28,2021-09,7,516,4,485,13,56,6,5
": @studio_stoutpoep 
: @feminist.school 
sounds like a you* problem, buddy 
*systemic
note: thank you to the male allies who dont do this
       ",2022-07-31T12:55:49,2022-07,62,3804,6,3578,65,379,16,88
"put more starkly, engaging in sexual behaviors that your partner does not consent to is a form of sexual violence
it doesn't matter if you are dating, married, etc.--it is still sexual assault
want to read more from swim? check out the  to get a copy!
              ",2022-07-31T10:11:57,2022-07,15,1290,4,1184,10,74,2,13
"tweet : @unwomenaust 
when an 8 year old boy has a better understanding of consent than some grown adults 
p.s.: parenting award to this mama 
             ",2022-07-30T19:42:55,2022-07,5,1266,0,1157,13,166,14,17
": @bestrong_bewise 
real talk: talking to teens about consent (or sex) does not make them think about sex; they already door at least wonder about iti promise! 
even if your teen is committed to abstinence until they get married, teaching them about consent is a great way to help them reach that goal and prepare them for their future sexual relationship with their spouse
alsoyou absolutely dont need to wait til your child is a teenager to talk to them about consent
in fact, there are lots of ways you can teach them about consent throughout childhoodconsent is a life skill relevant throughout your entire life!
**note: i acknowledge that not all sexual experience is consensual and that sa and rape are very, very common
if this has been your experience, it is not your fault. you are not dirty and you are still worthy 
             on   ",2022-07-30T16:22:09,2022-07,7,992,0,898,6,49,2,4
"tweet : @bloodybuddycup 
maybe im dying 
drop a  below if you relate! 
     ",2022-07-29T23:24:46,2022-07,22,6124,4,5672,77,361,4,105
"**tw: victim blaming & sexual assault**
if you ever *have asked* or find yourself *about to ask* why someone didnt report their assault, take a look at these clips from real news sites
when western culture so often treats survivors this way, why would a victim be motivated to report?!
victims/survivors: your experience is valid. you are valid. 
**note: someone is probably going to bring up false reports so im just going to say it: false reports are absolutely inappropriate and can have devastating consequences. however, given that a) false reports are 2-8% of all reports b) most sa goes unreported and c) you are more likely to experience sa than be falsely reported, the kneejerk reaction to an sa report should not be to assume that the reporter is lying
also, not all survivors are women. being a survivor is even more stigmatized for other genders and may be even less likely to be reported 
       ",2022-07-29T14:44:06,2022-07,70,4961,18,4607,152,465,8,221
": @thisisfeministbro 
because the  is just around the corner
a few thoughts:
1 while women are generally more at risk of campus sexual assault, it does still happen to men (as well as other genders)
2 this phenomen happens so frequently that it is recognized by universities and organizations nationwide as the red-zone (when sa happens during the first 6-8 weeks of the first semester of college)
3 its generally not strange men jumping out of the bushes with knives who are committing these assaultsmore often sa is committed without a weapon and by classmates, friends, fellow partygoers, and former or current partners
^this does not mean that the more stereotypical rape scenario doesnt happen or that its an invalid experience 
tag  someone who needs to see this!
        ",2022-07-28T18:31:26,2022-07,18,1522,4,1360,30,194,9,43
"when one person agrees to marry another, they are only agreeing to that: to marry them
they are not agreeing to have sex whenever their future spouse wants to or to be abused or controlled
marriage can be meaningful, fun and beautiful (coming up on 6 years with @dbluhm ) when there is mutual respect, healthy communication, and ongoing commitment 
**note: i acknowledge this post may only reflect western societies and is informed by my perspective as a white cisgender american woman
           ",2022-07-28T13:40:59,2022-07,12,1839,0,1751,19,134,0,30
": @thechristiansexeducator 
it can be tempting to use intimacy as a euphemism for sexparticularly within religious cultures that view sex as taboo or inappropriate
however, this interchanging of terms is concerning because:
sex doesnt need a euphemism and its not a bad word (although i cant write it out on ig )
saying intimacy when you mean sex equates all intimacy with sex and all sex with intimacythis is absolutely not the case
intimacy is not always physical; intimacy can refer to emotional, spiritual or physical intimacy 
you can be physically intimate without having sex
other reasons??
          ",2022-07-28T10:54:39,2022-07,24,1346,2,1194,18,105,5,26
"let's stop telling girls to dance with every boy who asks and to give every guy who asks her on a date a chance
if someone gets hurt feelings because they were rejected, that is *their* problem to work through; not an indication that the person who turned them down should have said yes 
accepting rejection and respecting a ""no"" is a life skill; a ""no"" is not a negotiation or playing ""heard to get""
instead of teaching girls to prioritize politeness over safety, let's instead teach boys that they should absolutely take ""no"" (or anything like it) for an answer
**note: obviously, it's not just boys/men that don't always respect ""no."" however, it is boys/men who often get messages that they shouldn't take ""no"" for answer.
             ",2022-07-27T19:33:12,2022-07,31,1134,8,1034,22,115,15,22
"this @jennyhan captures this double standard perfectly in her to all the boys ive loved before book series 
this double standard is also sometimes found in religious cultures that value abstinence prior to marriage
while this is a worthy goal and standard, the expectations and norms accompanying this standard need to be the same for all genders; not just girls/women
also, having sex outside of marriage does not take away from your worth as a human being and a girl/women doesnt have to be dressed in a way thats considered modest in order to deserve respect
no one is asking for it by what they wear, how they act, or where they are. period.
            ",2022-07-27T16:58:00,2022-07,10,1387,6,1316,10,67,2,12
": @studio_stoutpoep 
 : @givingthetalk 
no, kissing someone while theyre unconscious or otherwise incapacitated is not romantic
in fact, engaging in intimate or sexual behaviors (including kissing) is a form of sexual assaulteven if its a disney movie
       on",2022-07-27T14:08:25,2022-07,21,1788,2,1637,15,132,17,27
": @solomongeorgio 
right?! maybe we need to normalize a creep-zone rather than a friend-zone
     
  ",2022-07-26T18:38:53,2022-07,36,3031,12,2851,133,425,12,75
"check out this post from @saferu.lk on  
as a reminder, all  (including stealthing) is driven by violence and control, rather than ""passion"" or sexual attraction
       ",2022-07-25T13:22:19,2022-07,9,1153,2,1066,20,61,2,32
": @karencheee 
saaaame 
tweet shared from @bloodybuddycup 
     on    ",2022-07-25T10:51:33,2022-07,30,8868,2,8385,104,288,4,118
"**to my fellow lds friends**
this post is brought to you by this quote:
when we have a clear understanding of the gospel, and a clear understanding of the principles of intimacy, we can then celebrate our sexuality in wholesome and divinely-designed ways
busby & colleagues, sexual wholeness in marriage*
did you hear that? no sex is just for making babies or sex is a necessary evil
yes, sex is divinely designed (although i cant write it out fully on here without risking getting shadow banned or flagged )
*want to read more? check out the recommended reading button at the  
        ",2022-07-24T15:32:45,2022-07,25,864,0,803,7,49,0,2
"reason for comprehensive sex ed  : it can reduce the frequency of sexual violence and increase the number of young adults who feel comfortable discussing sex and consent 
         ",2022-07-21T14:50:47,2022-07,7,559,0,526,4,39,0,11
": @ourwatch 
its never just a joke or locker room talk or boys will be boys
if its listed here, its always rape culture
also, even though it specifically names disrespect of women, this absolutely does not mean that its only women who experience sexual violence; sexual violence has no gender
your experience is valid 
            on",2022-07-21T11:56:04,2022-07,34,4059,6,3648,112,418,16,114
"no = no
maybe = no
i dont know = no
im not sure = no
i guess = no
silence = no
sleeping = no
drunk = no
passed out = no
under age = no
freezing = no
consent is an active, enthusiastic, and ongoing agreement to engage in sexual activity  
      ",2022-07-20T20:09:29,2022-07,4,997,0,963,11,70,0,20
"sending unsolicited dick pics (or any other kind of unwanted sexting) is sexual harassment and may be prosecutable 
so...just don't do it. ever. 
       ",2022-07-20T16:14:50,2022-07,3,774,0,704,1,52,11,2
"yes, false reports happenbetween 2-8%, to be specificand they have devastating consequences to those falsely accused
however, these instances of false reporting do not erase the fact that the vast majority of sexual assaults are unreported and sexual assault is incredibly common
these instances also do not negate the inexcusable treatment of real survivors, such as chanel miller and christine blasey-ford
false reports and sexual assaults are horrifying and problematic; its not a competition of whose trauma is valid
tweet courtesy of @safe_bae 
       ",2022-07-18T20:52:57,2022-07,6,989,0,896,10,74,4,10
"it is normal for ourchildren to be interested in their bodies
padilla-walker, busby, leavitt, & carroll, a better way to teach kids about sex
rather than shaming kids for their natural interest in their sexuality and their body, recognize (and help them recognize) that their bodies and sexual feelings are not something to be ashamed of
parents, what is an approach you have taken to teach this to your child(ren)?
**book can be purchased @ the link in my bio
on on             ",2022-07-18T11:51:15,2022-07,16,943,0,846,4,34,8,2
": @sisterhoodillustration 
: @wesnetaustralia 
you do not owe anyone sex, even if:
youre married to them
youre dating them
youve had sex with them before
they bought you dinner 
you went home with them
its their birthday 
its too late to stop (its not)
if they throw a fit because you exercised your right to turn them down, that does not mean you made the wrong choice
        ",2022-07-17T19:43:40,2022-07,20,3425,8,3279,67,384,4,120
"maybe that would discourage dudes from saying smile more 
tweet courtesy of @femestella 
     ",2022-07-17T17:56:22,2022-07,3,2385,0,2246,17,184,2,16
": @clitoriscious 
did you know that the only known purpose of the clitoris is for sexual pleasure? 
another fun fact is that its full structure is analogous to the penis (e.g., the tip of the clitoris and the tip of the penis are very similar)
what other fun facts would you like to see? comment below
          on",2022-07-17T15:09:59,2022-07,32,2921,0,2726,39,203,2,71
"
     ",2022-07-16T21:12:25,2022-07,16,2056,6,1895,51,261,11,50
"this may seem obvious, but most sexual assault is perpetuated by someone known to the victim, particularly a current or former partner
this is likely because of the gendered cultural messages we send, such as dont take no for an answer or you just need to try harder or shes playing hard to get
as a reminder, no does not mean try harder.
also, even though this is from the united states office of womens health, this statement is true regardless of gender
        ",2022-07-16T15:30:30,2022-07,16,985,0,923,20,112,8,30
"no one is entitled to someone elses body
not if youre dating
not if youre married
not if youre living together 
not if youre religious 
not if youre had sex previously 
no one is entitled to someone elses body. period.
   on  ",2022-07-15T14:49:12,2022-07,6,1132,0,1051,6,67,4,21
": @weaveinc 
asking for  is not just a check-the-box thing
consent should be an *ongoing* conversation and you should plan on *stopping* if you get anything less than enthusiastic consent
        ",2022-07-14T10:48:19,2022-07,3,608,0,571,15,66,3,33
"i love a shame-free period discussion 
got period life hacks? share them below  
  on     ",2022-07-13T22:39:29,2022-07,35,8812,4,8260,84,402,9,180
"i didnt even realize that putting a condom on a banana during sex ed was a thing until recently; i grew up in a very conservative state (kansas) so i only got abstinence-based sex ed
in fact, i didnt even really learn about sex until about halfway through college and yet here we are 
anyways, reminder that sex ed needs to cover much more than just how to put on a condom (although thats a good start)
sex education should also include 
consent (giving and receiving)
respecting a no
porn vs. real life 
movie/tv show relationships vs. real life
reproductive anatomy 
types of birth control
how the menstrual cycle works
sexual/relationship orientations
discussion of various types of sex
debunking gender stereotypes 
as a side note, comprehensive sex ed does not make kids think about sex (they are already thinking about it, especially during puberty) but rather helps them make informed choices as they develop
is there anything you would add to the list of necessary sex ed topics?? comment below
       ",2022-07-13T18:06:45,2022-07,24,2648,4,2601,13,73,6,18
"follow up to my previous post
stop expecting women to stay polite and amicable, regardless of whether we feel safe or comfortable
tweet reposted from @safe_bae 
tweet from @nataliapetrzela 
       on    ",2022-07-12T17:45:24,2022-07,16,909,2,838,11,66,2,11
"did you know? peeing after sex (particularly if you have a vagina) can help reduce the chances of getting a uti (urinary tract infection)
this is because pee acts as a power washer of sorts and flushes out possible germs in the urinary tract that can lead to an infection
source: see 
  on   ",2022-07-12T10:45:12,2022-07,146,4619,38,4365,55,294,14,162
"this is one non sex-related example of consent: just because *youre* a hugger doesnt mean that *i* am 
have you ever had an experience like this? how did you handle it?
      on",2022-07-11T23:58:07,2022-07,39,1944,2,1808,37,191,13,53
"oof. and not knowing correct body part terminology is just the tip of the iceberg: when did we last hear consent (and taking no for an answer) taught in sex education classes?
time to stop focusing only on stis in heath class and stop assuming that kids already know these things. they dont (at least in my case). 
**note: i acknowledge that this tweet is likely representative of white culture than it is other cultures; just because someone is well-read and intelligent doesnt mean that they are better than someone who they perceive as less well-read and intelligent.
       ",2022-07-11T20:22:11,2022-07,13,1019,0,909,5,68,7,12
"**target audience: lds and other religious folks 
when i was an undergrad at @byusfl  i heard about a girl who stated that she would be using god as birth control 
now i know not everyone is okay with using hormonal (etc.) birth control, and thats fine
however, if you have unprotected sex (and dont do natural family planning), you will likely get pregnant at some point (notwithstanding fertility issues, of course); that is just how the human body is designed 
while i believe in god and divine intervention, i also believe that we were given agency for a reason and that includes not expecting god to regulate when, if, and how many kids we have*
*notes: i know that not everyone has the luxury of choosing when they have sex, whether/how they use birth control, or when they become pregnant, due to oppression, medical issues, infertility, etc.
likewise, not everyone is aware of their birth control options or can easily access them (particularly if they have inadequate or no heath insurance
i see you and i know you are doing the best you can within the confines of your given situation. 
 on      ",2022-07-11T18:05:25,2022-07,20,1274,2,1225,4,48,0,7
": @defendsurvivors 
given that experiences such as sexual assault, rape or abuse inherently ignore the survivors/victims will, its crucial to remember that *they* are the expert on their experience 
this also applies to whether they are a victim or a survivorregardless of the official definitions, the person who experienced the violence gets to choose how they identify (and this may change over time)
        ",2022-07-10T17:10:11,2022-07,9,843,2,779,19,59,1,10
"tw: rape
rape is about power and violence; not about sex or what someone is (not) wearing
             ",2022-07-09T11:28:16,2022-07,12,1632,0,1476,54,211,5,66
": @consentlabs 
hollywood (particularly rom coms/chick flicks) is notorious for not depicting enthusiastic, clear consent
what examples can you think of? drop them below 
         ",2022-07-07T23:01:03,2022-07,3,1246,0,1173,2,53,8,2
"its vulva; not vagina, my dude
also:
women/vagina owners do not exist for male pleasure
 vagina-owners are just that: a human being who has a vagina; not an object for male sexual conquest and objectification 
womens/vagina-owner sexuality exists apart from men; not to fulfill their desires 
using this logic, the assumption would be that vagina-owners with shaved vulvas have consented to sex (they have not) 
thank you for coming to my ted talk 
         
**tweet courtesy of @lovecrave",2022-07-07T18:08:49,2022-07,12,2372,2,2164,18,218,4,36
"i saw this phrase as the title of a research awhile ago and loved it
obviously, boys/men can also be victimized and girls/women can also perpetrate sexual violence
however, i appreciate that this clever phrasing acknowledges the serious consequences of trite sayings such as boys will be boys and the double standards that often accompany them
       ",2022-07-07T14:26:39,2022-07,9,947,0,903,20,110,2,24
"deaaaad  (pun intended)

really though, apparently the term body count originally referred to how many people someone has killed. boy, do i have some questions 
      ",2022-07-06T11:39:08,2022-07,6,1085,0,1005,6,61,0,5
"until everybody is free from:
sexual assault/harassment
sexual coercion
stalking
domestic/intimate partner violence
racism 
sexism
trans/homophobia 
classism
poverty
we cannot sincerely say that  is a land of  until all americans (e.g., peoples of color, lgbtq+ folx, low ses individuals, immigrants, women, etc.) are free from these (and all) oppressions
**quote courtesy of @diversifyournarrative
              ",2022-07-04T17:46:49,2022-07,3,734,0,665,7,75,0,21
": @consentcomesfirst 
love a proactive male ally 
have you had a similar experience to this person? drop it in the comments section (if you feel comfortable)
       ",2022-07-03T23:48:52,2022-07,26,3554,4,3455,48,338,4,38
"no means no 
maybe means no 
only a clear yes!! is consent 
what does a clear yes!! sound like to you? 
      on",2022-07-03T10:41:13,2022-07,33,2231,8,2147,43,232,3,45
": @henryjgarrett 
you heard it here 
              ",2022-06-22T11:57:26,2022-06,12,1764,0,1630,25,162,1,78
": @drlauriemintz 
ever notice that there are negative words for women who are perceived as promiscuous (e.g., slut) but none (or at least far fewer and less frequently used) for men? 
lets dispense with the double standards already, pls
                 
    ",2022-06-21T23:17:50,2022-06,22,3078,4,2803,50,266,7,50
": @henryjgarrett 
sex ed is not complete without talking about consent and other comprehensive sex ed topics
drop a  below if you agree! 
                 
  ",2022-06-21T10:25:58,2022-06,32,3350,6,3230,19,183,5,26
": @sexpositivesexed 
you may have noticed me censoring words such as these in my posts 
however, i dont censor because these are bad words
i censor *myself* so i avoid being censored by *instagram* 
         ",2022-06-18T13:34:22,2022-06,10,1094,4,988,9,111,0,13
"why is this so much easier said than done  (hint: probably expectations for women to be always be nice no matter what) 
**note: harassment experienced by *anyone* (not just women) is inappropriate and uncalled for. your experience is valid.
tweet reposted from @thisisfeministbro",2022-06-11T14:43:27,2022-06,17,2531,6,2319,72,337,11,116
"no, vagina isnt a bad word (i.e., a curse word) and yes it should only be used in appropriate situations (e.g., teaching your toddler the names of their body parts)
just like you wouldnt randomly insert any other word in a conversation (unless youre doing mad libs), you dont go around saying vagina for no reason
     ",2022-08-23T11:39:16,2022-08,9,3116,0,2807,26,239,11,74
": @thisisfeministbro 
just saying that youre a good guy doesnt make it so; saying its not your problem is creating a bigger one
this also doesnt mean that all men are rapists or only women get raped. the point here is to emphasize the power that men have in getting other men to listen to them (case en pointe: andrew tate )
male allies who are actually living up to their name, thank you. i see you 
got a favorite male ally?? tag  them below!
       ",2022-08-22T14:34:03,2022-08,9,1737,2,1483,34,212,14,57
"@safe_bae keeping it real 
if youre not ready to assume the victim is also innocent until proven guilty, stop asking why they dont report 
      ",2022-08-22T10:30:37,2022-08,11,1256,2,1148,28,182,9,65
": @theintrovertnation 
i saw this unfold in real time when i was still in my undergrad  one day on campus i saw some dude walk up to a random girl and ask her for a hug
the girl awkwardly accepted* the hug, but it was clear that she wasnt into it not wanting to also experience the same thing, i booked it out of there 
making it difficult to say no or saying im a hugger and then basically lunging at someone who has not agreed to being hugged is not consent
just because you are a hugger doesnt mean that *i* am a hugger, people  
thank you for coming to my tedtalk 
*i suspect that the girl felt obligated to prioritize being nice to the guy, rather than doing what feels safest to her, because of gender norms (especially the expectations for christian women in the u.s.)
        ",2022-08-21T15:59:29,2022-08,3,3725,0,3058,22,157,4,24
"**tw: infertility, birth trauma, etc.**
and it will never be the same 
       ",2022-08-20T15:25:16,2022-08,1,926,0,834,6,101,0,13
"sex-positive doesnt have to mean you are sexually active  no matter your reason for not engaging in sex
    ",2022-08-19T20:09:01,2022-08,78,3991,16,3560,74,392,13,54
": @drsprankle 
brb dying 
in all seriousness, though, orgasms should not guide the nature or length of a sexual encounter; consent and communication should
no one is entitled to an orgasm and sexual behavior should stop immediately once consent is revoked (either verbally or non-verbally; this includes falling asleep or passing out)
       ",2022-08-19T13:48:42,2022-08,12,2547,4,2273,16,150,12,62
": @hello.vulva
just answer the question, buddy 
tbh though i didn't even hear the word ""clitoris"" or know about it until i was halfway done with college    and now i'm a sexual health and safety researcher so clearly it's never too late to learn  
          ",2022-08-18T17:30:51,2022-08,6,1407,0,1328,6,75,4,29
"**tw: rape**
: @unwomenaust 
the sign says it all tbh  drop a  below if you agree!
         ",2022-08-18T10:27:22,2022-08,3,1698,0,1586,23,221,6,35
": @theequalityinstitute 
**tw: sa and rape**
if you dont want to have sex after experiencing rape, thats totally normal
if you do want to have sex after experiencing rape, that is also totally normal
regardless of what your healing journey looks like, know that what happened to you doesnt have to define your entire identity 
           ",2022-08-17T18:35:14,2022-08,9,1049,0,958,9,124,1,13
"believe women also means extending the same benefit of the doubt to the victim that is often extended to the perpetrator
if the perpetrator (of any gender) is innocent until proven guilty, the victim (of any gender) should not be guilty until proven innocent and retraumatized in the process 
      ",2022-08-17T13:32:12,2022-08,3,779,0,717,19,123,0,39
" & : @mtmvcommunity 
especially within our current victim-blaming rape culture, this can go a long way  
drop a  below if you agree!
       ",2022-08-17T10:08:30,2022-08,1,625,0,552,12,62,3,20
" : @feminist.school 
**trigger warning: rape; child abuse**
  
reminder that rapists cause rape  not clothes or behavior
         ",2022-08-16T21:10:59,2022-08,20,2904,2,2634,77,366,17,129
"[stats from @rainn]
**tw: sexual assault
this clear it up? 
while, it's true that some perpetrators are reported and arrested and prosecuted and convicted and incarcerated, the majority of them are not
on the other hand, many victims who report the perpetrator experience retraumatization, victim-blaming, invasive cross-examinations, etc. 
in short, when a victim reports sa, odds are that they will be retraumatized and that no arrest will occur
**note: while this specific post centers male-on-female sexual assault, women are not the only victims of sa
       ",2022-08-16T13:39:26,2022-08,14,920,0,806,45,136,5,80
": @mixhers 
drop a  below if you can relate or if you love @goldengirls 
       ",2022-08-16T09:53:45,2022-08,16,4177,2,3934,36,184,2,40
